"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1074753","0","AFRICA GOODWILL FOUNDATION","Flat 8, 47 Augustus Road, London","SW19 6LW","Putney","02087884842","info@africagoodwill.org","www.africagoodwill.org","31/12/2019","8015.0","7895.0","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","Our main aims are to assist in the relief of poverty, preservation and protection of health and advancement of education and the provision of humanitarian relief in both UK and Africa. The more specifically to support the most disadvantage people in the conflict areas of Northern Uganda that have suffered for over two decades of war and its effect.","THE FOUNDATION IS ESTABLISHED FOR THE BENEFIT OF PERSONS FROM AFRICA (PARTICULARLY FOR THE OYAM REGION OF UGANDA) AND ANY SUCH PERSONS RESIDING IN THE UNITED KINGDOM TO ASSIST IN THE RELIEF OF POVERTY, PRESERVATION AND PROTECTION OF HEALTH AND ADVANCEMENT OF EDUCATION."
"1136746","0","KUSHINGA","45b Fowler Street, Blakenhall, WOLVERHAMPTON","WV2 3JD","Wolverhampton South East","07936722318","KUSHINGA.Z.M@GMAIL.COM","","31/03/2018","0.0","0.0","Registered","Other","Makes Grants To Individuals, Provides Human Resources, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","The relief of distress and suffering and the preservation of good health for all residents of United Kingdom (UK) and Africa  in Malawi and Zimbabwe by all charitable means available. The Prevention or relief of Poverty, Education and Training, The Advancement of Health or Saving of Lives, Provides Human Resources,  Advocacy/ Advice/ Information / Services and Make Grands to Individuals.","THE RELIEF OF DISTRESS AND SUFFERING AND THE PRESERVATION OF GOOD HEALTH FOR ALL RESIDENTS OF SOUTHEND-ON-SEA WHO ARE MEMBERS OF THE ZIMBABWEAN COMMUNITY BY ALL CHARITABLE MEANS AVAILABLE"
"1104836","0","S.O.S FAMILIES ASSOCIATION","14 Bakers Hill, Clapton, London","E5 9HL","Hackney North and Stoke Newington","02035607750","sosfamilies@yahoo.co.uk","www.sosfamiliesassociation.org.uk","31/03/2015","12000.0","11800.0","Registered","Other","Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Accommodation/housing, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Defined Groups, The General Public/mankind","TO RELIEVE POVERTY,ADVANCE EDUCATIONAND TO PROVIDE OR ASSIST IN PROVISION OF FACILITIES FOR RECREATION ,HEALTH AND OTHER LEISURE, OUTREACH SOCIAL WELFARE,MEDIATION AND WITH THE OBJECT IN IMPROVING LIVING CONDITIONS FOR ALL.TO ESTABLISH,OR SECURE THE ESTABLISHMENT OF A COMMUNITY CENTRE OR MEETING SPACE ;TO RESEARCH,IMPLEMENT ,CREATE,PROMOTE AND DEVELOP AWARENESS OF HEALTH,EDUCATION, TRAINING.","TO RELIEVE POVERTY, ADVANCE EDUCATION AND TO PROVIDE OR ASSIST IN PROVISION OF FACILITIES FOR RECREATION, HEALTH AND OTHER LEISURE OCCUPATION, OUTREACH SOCIAL WELFARE, MEDIATION AND WITH THE OBJECT IN IMPROVING LIVING CONDITIONS FOR ALL.
B.  TO ESTABLISH, OR SECURE THE ESTABLISHMENT OF A COMMUNITY CENTER OR MEETING SPACE (HEREINAFTER CALLED ""THE CENTER"")AND TO MAINTAIN AND MANAGE THE SAME ""WHETHER ALONE OR IN CO-OPERATION WITH ANY LOCAL AUTHORITY OR OTHER PERSON OR BODY) IN FURTHERANCE OF THESE OBJECTIFS.
C.  TO RESEARCH, IMPLEMENT, CREATE, PROMOTE AND DEVELOP AWARENESS OF HEALTH, EDUCATION, TRAINING, WELFARE RIGHTS, AND SOCIAL CULTURAL ISSUES WITHIN AND AMONGST THE COMMUNITY."
"1124658","0","Aytac Aid","Unit 4 Office Management Suite 3, Forest Business Park, Argall Avenue, Leyton, London","E10 7FB","Walthamstow","07551944401","","","31/03/2020","0.0","0.0","Registered","Trust","Makes Grants To Individuals, Provides Other Finance, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","The objective of the Trust is to educate and inspire socially deprived communities through educational projects and fun activities.",". TO ADVANCE THE ISLAMIC FAITH FOR THE BENEFIT OF THE PUPILS AND PUBLIC THROUGH THE HOLDING OF PRAYER MEETINGS, LECTURES, PRODUCING AND/OR DISTRIBUTING LITERATURE ON ISLAM
. TO ADVANCE THE EDUCATION OF THE PUPILS AT CITYSIDE PRIMARY SCHOOL TRUST BUT THE TRUSTEES MAY BY RESOLUTION CHANGE THE SCHOOL' NAME, BY PROVIDING AND ASSISTING IN THE PROVISION OF FACILITIES NOT REQUIRED TO BE PROVIDED BY THE LOCAL EDUCATION AUTHORITY FOR EDUCATION AT THE SCHOOL
. TO EDUCATE AND ASSIST YOUNG PERSONS THROUGH THEIR LEISURE TIME ACTIVITIES SO TO DEVELOP THEIR PHYSICAL, MENTAL AND SPIRITUAL CAPACITIES THAT THEY MAY GROW TO FULL MATURITY AS INDIVIDUALS AND MEMBERS OF SOCIETY AND THAT THEIR CONDITIONS OF LIFE MAY BE IMPROVED
. ENCOURAGING OTHER CHARITABLE ACTIVITIES THROUGH WHICH PARENTS MAY HELP THE CHILDREN"
"1079160","0","CLUB 106 COMMUNITY PROJECT","Can Mezzanine, 49-51 East Road, LONDON","N1 6AH","Hackney South and Shoreditch","02070977106","info@club106.org.uk","www.club106.org.uk","31/03/2020","5000.0","4986.0","Registered","Other","Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","EDUCATION OF THOSE SUFFERING FROM FINANCIAL HARDSHIP OR OTHERWISE IN NEED, IN THE LONDON BOROUGH OF HACKNEY, GREATER LONDON AND WORLDWIDE, WITH A VIEW TO PROMOTE THE ADVANCEMENT OF I.T. SKILLS WITH INTERNET TRAINING. WE PROVIDE FACILITIES FOR COMPUTER TRAINING AND DISTANCE LEARNING AND PROVIDE AND ASSIST IN FACILITIES FOR SPORT, RECREATION, LEISURE, MUSIC, FASHION, MODELLING, DRAMA, AND DANCE.","1) TO ADVANCE THE EDUCATION OF THOSE SUFFERING FROM FINANCIAL HARDSHIP OR OTHERWISE IN NEED, IN THE LONDON BOROUGH OF HACKNEY, AND GREATER LONDON, WITH A VIEW TO PROMOTE THE ADVANCEMENT OF I.T. SKILLS WITH INTERNET TRAINING BY PROVIDING FACILITIES FOR COMPUTER TRAINING AND DISTANCE LEARNING2) TO PROVIDE AND ASSIST IN FACILITIES FOR SPORT, RECREATION, AND LEISURE3) TO ADVANCE EDUCATION PARTICULARLY IN THE ARTS OF MUSIC, DRAMA, AND DANCE4) FOR OTHER CHARITABLE PURPOSES AT THE DISCRETION OF HE CHARITY'S COMMITTEE"
"1088025","0","ADDINGTON AFRO-ETHNIC HEALTH PROMOTION GROUP","PROMOTION GROUP, CORNERSTONE HOUSE, 14 WILLIS ROAD, CROYDON","CR0 2XX","Croydon North","02086843208","aaegro2000@yahoo.co.uk","","31/03/2020","16250.0","15096.0","Registered","Other","Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups","Health  awareness workshops and support group  on HIV and STIs for affected individuals and their carers
Financial Hardship support via fundin Trusts.
Support groups work with young carers
HIV Prevention /STIs, conferences etc.
Holiday and Breaks for client group
Activities for youth carers and  families affected
Parenting workshops
IT and job training
Referrals to mainstream 
TB awarenes","1. THE RELIEF OF SICKNESS AMONGST PERSONS WITH AIDS OR HIV INFECTION, IN PARTICULAR BY THE PROVISION OF CULTURALLY APPROPRIATE CARE AND SUPPORT SERVICES; 2. THE PRESERVATION AND PROTECTION OF HEALTH BY THE PROVISION AND ASSISTING IN THE PROVISION OF ADVICE AND INFORMATION ON THE CAUSES AND PREVENTION OF INFECTION BY HIV/AIDS; 3. THE ADVANCEMENT OF EDUCATION, IN PARTICULAR BY THE PROVISION OF CLASSES IN ENGLISH AS A SECOND LANGUAGE, AFRICAN LANGUAGES, AND AFRICAN MUSIC, DANCE AND DRAMA CLASSES;  4. THE PROVISION OF INFORMATION AND ADVICE TO THOSE WHO ARE IN CHARITABLE NEED."
"1085531","0","ANNO DOMINI CHARITY TRUST INTERNATIONAL LIMITED","Flat 94, Crowhurst House, Aytoun Road, London","SW9 0UE","Vauxhall","02079249971","revabrahamusikaro@yahoo.com","","30/04/2020","28979.0","28029.0","Registered","Charitable company","Provides Human Resources, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Economic/community Development/employment","Children/young People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Evangelism, preaching the gospel of Jesus Christ with passion, with signs following, running community based projects - feeding the destitutes, visiting the elderly in homes. Running projects for the young people and youths.","THE CHARITY IS ESTABLISHED FOR THE FOLLOWING PURPOSES: A.TO ADVANCE THE CHRISTIAN FAITH THROUGH BUT NOT EXCLUSIVELY THE PROVISION OF SERVICES, EVANGELISM, AND OTHER CHRISTIAN RELIGIOUS EDUCATION. B.TO ADVANCE SUCH OTHER CHARITABLE PURPOSES AS ARE BENEFICIAL TO THE COMMUNITY."
"1116783","0","EDUCATION CONCERN (EC)","121 MAHON CLOSE, ENFIELD","EN1 4DL","Enfield North","07860198745","","www.educationconcern.org","31/03/2020","20.0","0.0","Registered","Other","Makes Grants To Organisations, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Animals, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","Providing young people with access to a network of support such as mentoring & tutoring as well as personal development opportunities, for example, arts courses, music workshops and sports programs.","TO RELIEVE POVERTY AND UNEMPLOYMENT IN SOUTHERN SUDAN BY PROVIDING EDUCATION AND TRAINING AND THE PROVISION OF RESOURCE MATERIALS."
"1181480","0","THE HOPE GENERATION","Flat 20.02, Aragon Tower, George Beard Road, LONDON","SE8 3AL","Lewisham, Deptford","07598085305","leozinhoox4@hotmail.com","","14/08/2020","0.0","0.0","Registered","CIO","Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Disability, The Prevention Or Relief Of Poverty, Religious Activities, Arts/culture/heritage/science, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","The Hope Generation is a charity built to bring hope to people in London. We work with homeless people around London, donating clothes, fresh food and love. We work encouraging young adults to do outreach in public places, to share the love of God and bring hope to those who need. We have online groups aimed to help people that suffer from depression or have other difficulties in their lives.","WE ARE A GROUP OF YOUNG CHRISTIANS ON THE AGE BETWEEN 18-30 YEARS OLD, THAT HAS BEEN THROUGHDIFFICULTY IN OUR LIVES SUCH US ALCOHOLISM, HOMELESSNESS, DRUGS AND FOUND A WAY OUT OF IT THROUGH THEGOSPEL. SOME OF US HAVE NEVER BEEN THROUGH IT BUT ARE USED TO PREACH TO PEOPLE WITH THOSE PROBLEMS.WE ARE WILLING TO GO OFF THE WALLS AND HELP YOUNG PEOPLE TO LEAVE THE DRUGS AND ALCOHOLISM LIFE, HELPHOMELESS PEOPLE WITH FOOD AND CLOTHES, AND GIVING THEM A HOPE OF A NEW LIFE, SUPPORTING THEM WITHTHEIR PSYCHOLOGICAL AND FINANCIAL PROBLEMS.WE WILL BE WORKING IN THE MORE NEEDED AREAS OF LONDON AND IN OTHER CITIES AROUND UK WITH IT'SCOUNCIL PERMISSION.IT WILL BENEFIT THE PART OF OUR SOCIETY WHICH DOESN'T HAVE ENOUGH SUPPORT FOR YOUNG PEOPLE WHO ARELOSING THEIR LIVES FOR THE DRUGS AND DRIVING THEM SELVES TO DEPRESSION AND FINANCIAL PROBLEMS."
"1142901","0","RAMLUXMI CHARITABLE FOUNDATION","3 THE ORCHARD, WICKFORD","SS12 0HB","Rayleigh and Wickford","01268 766624","vrramanathan@hotmail.com","","31/07/2020","22189.0","28300.0","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Human Resources, Provides Services","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Relief of sickness on poor young and elderly people by setting up medical camps,providing financial assistance,andproviding financial assistance for poor children for their educational and living needs in Sri Lanka and India.Providing financial assistance to renovate the Saiva temples,schools and community centres which has been damaged by the recent civil war in Sri Lanka.","SUCH CHARITABLE PURPOSES FOR THE PUBLIC BENEFIT AS ARE EXCLUSIVELY CHARITABLE ACCORDING TO THE LAWS OF ENGLAND AND WALES AS THE TRUSTEES MAY FROM TIME TO TIME DETERMINE IN PARTICULAR BUT NOT EXCLUSIVELY BY THE PROVISION OF GRANTS IN SRI LANKA AND INDIA."
"1047808","0","I.K. FOUNDATION","61 AUDLEY ROAD, LONDON","W5 3ES","Ealing Central and Acton","02089911770","info@ikfoundation.org.uk","www.ikfoundation.org.uk","31/12/2020","0.0","0.0","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Economic/community Development/employment","Elderly/old People, People With Disabilities","Works for general charitable purposes thoughout Greater London,UK/India &AFRICA","THE RELIEF OF POVERTY AND THE ADVANCEMENT OF RELIGION IN THE U.K. TANZANIA INDIA AND ELSEWHERE AS THE TRUSTEES SHALL DETERMINE"
"1105620","0","RWOT OGWOK AYARU FOUNDATION (ROAF)","2 HOLT CLOSE, LONDON","SE28 8LF","Erith and Thamesmead","07960379433","roaf.ayaru@yahoo.com","","31/12/2019","2175.0","1995.0","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","Rwot Ogwok Ayaru Foundation's (ROAF) current activities has been supporting children and young people education in schools and colleges. Other activities have included supporting community health education, training and health awareness programmes in Lamwo and Kitgum Districts, Uganda.  ROAF has continued to support human resource development and capacity building within the community.","A) TO ADVANCE THE EDUCATION OF THE YOUNG PEOPLE OF PADIBE, KITGUM DISTRICT, UGANDA; AND SURROUNDING AREAS, BY THE PROVISION OF EDUCATION EQUIPMENT AND MONETARY SUPPORT TO ASSIST IN PROVIDING FORMAL EDUCATION FOR THESE CHILDREN.
B) TO PRESERVE FOR THE BENEFIT OF THE PEOPLE OF,  PADIBE, UGANDA; AND SURROUNDING AREAS, THE HISTORICAL AND CONSTRUCTIONAL HERITAGE OF THE SITES KNOWN AS ""KANA LACIC"" AND ""LIMO PA RWOT"" BEING OF PARTICULAR HISTORICAL AND EDUCATIONAL INTEREST."
"1110646","0","THE MUSIC MIND SPIRIT TRUST","THE OLD FARM HOUSE, HERMONGERS LANE, RUDGWICK, HORSHAM","RH12 3AL","Horsham","07973113171","musicmindspirit@gmail.com","www.musicmindspirittrust.com","30/04/2020","9894.0","5596.0","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","Education/training, The Advancement Of Health Or Saving Of Lives, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","To promote or develop the arts and in particular the art or science of music and research into the same and to educate the public in the arts and in particular music by public lectures, seminars, workshops, concerts, recitals or otherwise.","1) TO PROMOTE OR DEVELOP THE ARTS AND IN PARTICULAR THE ART OR SCIENCE OF MUSIC AND RESEARCH INTO THE SAME FOR THE PUBLIC BENEFIT AND TO PUBLISH THE USEFUL RESULTS OF ANY SUCH RESEARCH; AND
2) TO EDUCATE THE PUBLIC IN THE ARTS AND IN PARTICULAR THE ART OR SCIENCE OF MUSIC WHETHER BY PROMOTING PUBLIC LECTURES, SEMINARS, WORKSHOPS, CONCERTS, RECITALS OR OTHERWISE."
"1136005","0","ALL PAKISTAN WOMEN'S ASSOCIATION UK","1 Laurel Way, South Woodford, London","E18 2UA","Leyton and Wanstead","07950049988","seemi@apwa.org.uk","www.apwa.org.uk","31/03/2020","19078.0","17779.0","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","July 5th 2010The charity was launched at the House of Lords through the kind Patronage of Baroness Flather and Chief Guest was the Lord Speaker Baroness Hayman. The Charity reflects Pakistani women of the United Kingdom and that our Friends For Life should be women of Pakistani origin as well as women of other nationalities who have an affinity for Pakistan.","1 TO PREVENT OR RELIEVE THE POVERTY AND SICKNESS AND PROMOTE THE MENTAL, PHYSICAL, SEXUAL AND EMOTIONAL HEALTH OF PAKISTANI WOMEN IN ANY PART OF THE WORLD
2 TO PROMOTE EQUALITY OF OPPORTUNITY BETWEEN PAKISTANI WOMEN AND MEN IN ANY PART OF THE WORLD
3 TO ADVANCE THE EDUCATION OF PAKISTANI WOMEN IN ANY PART OF THE WORLD
4 TO ADVANCE THE EDUCATION OF THE PUBLIC IN ANY PART OF THE WORLD IN SUBJECTS RELATING TO ECONOMIC CONDITIONS, THE MENTAL, PHYSICAL AND EMOTIONAL HEALTH OF PAKISTANI WOMEN AND MATTERS RELATING TO EQUALITY OF OPPORTUNITY BETWEEN PAKISTANI WOMEN AND MEN THROUGHOUT THE WORLD"
"1059080","0","CALVARY BELIEVERS MINISTRIES INTERNATIONAL","68 Riverdale Road, ERITH, Kent","DA8 1PX","Erith and Thamesmead","07958682831","calvarybelievers@hotmail.co.uk","","31/03/2020","61423.0","41637.0","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","The charity's objects and principal is promoting, advancing and maintaining the faith and teachings consistent with the tenets of Pentecostal Faith.","TO ADVANCE THE CHRISTIAN RELIGION ACCORDING TO THE STATEMENT OF BELIEFS IN CLAUSE 3 OF THE CONSTITUTION. TO RELIEVE POVERTY SUFFERING AND DISTRESS. THE PROVISION OF FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF THOSE PERSONS WHO HAVE NEED OF SUCH FACILITIES BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABLEMENT POVERTY OR SOCIAL AND ECONOMIC CIRCUMSTANCES."
"1049520","0","AFRICA AID FOR ORPHANS","360 B Upland Road, East Dulwich, London","SE22 0DP","Dulwich and West Norwood","02082998888","","WWW.AAFO.ORG.UK","31/03/2017","11225.0","10842.0","Registered","Other","Makes Grants To Individuals, Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups","AAFO currently Operates in three countries (UK, Uganda  and Kenya) offering services to orphans and disadvantaged children. Our prior activities as per now is in Uganda in the Acholi sub-region in Africa.
UGANDA:Small Grants for Education,Bursary to Universities in Education,Agriculture,Accounts&Finance,5 Students will start in January and April 2020 at Metropolitant Intn.University in Kampala.","TO RELIEVE THE POVERTY,ADVANCE THE EDUCATION AND PROTECT AND PRESERVE THE HEALTH OF UGANDAN ORPHANS IN UGANDA,THE UNITED KINGDOM OR ELSEWHERE IN THE WORLD."
"1125520","0","PATHWAY TO GLORY MINISTRIES LTD","75 Hookfield, HARLOW","CM18 6QQ","Harlow","07868012298","","www.pathwaytoglory.org.uk","31/12/2019","7109.0","7178.0","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Religious Activities, Arts/culture/heritage/science, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation, Other Charitable Purposes","Children/young People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","Preaching the Word of God, affirming the potency, effectiveness and infallibility of the Word of God, leading to belief, transformation and making believers heaven bound. Providing support services including youth mentoring scheme for for the youths in the UK helping them to reject violence by providing advice and assistance and organising programmes of physical, educational and other activities.","TO RELIEVE THE NEEDS OF CARIBBEAN BOYS BY PROVIDING SUPPORT SERVICES INCLUDING YOUTH MENTORING SCHEME.
TO ACT AS A RESOURCE FOR CARIBBEAN BOYS IN CARE IN THE UK AND ABROAD BY PROVIDING ADVICE AND ASSISTANCE AND ORGANISING PROGRAMMES OF PHYSICAL, EDUCATIONAL AND OTHER ACTIVITIES AS A MEANS OF;
A) ADVANCING IN LIFE AND HELPING YOUNG PEOPLE BY DEVELOPING THEIR SKILLS, CAPACITIES AND CAPABILITIES TO ENABLE THEM TO PARTICIPATE IN SOCIETY AS INDEPENDENT, MATURE AND RESPONSIBLE INDIVIDUALS,
B) ADVANCING EDUCATION,
C) RELIEVING UNEMPLOYMENT,
D) PROVIDING RECREATIONAL AND LEISURE TIME ACTIVITY IN THE INTERESTS OF SOCIAL WELFARE FOR PEOPLE LIVING IN THE AREA OF BENEFIT WHO HAVE NEED BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABILITY, POVERTY OR SOCIAL AND ECONOMIC CIRCUMSTANCES WITH A VIEW TO IMPROVING THE CONDITIONS OF LIFE OF SUCH PERSONS.
3) THE RELIEF OF FINANCIAL HARDSHIP AMONG CARIBBEAN BOYS IN CARE IN THE UK AND ABROAD BY PROVIDING SUCH BOYS WITH GOODS/SERVICES WHICH THEY COULD NOT OTHERWISE AFFORD THROUGH LACK OF MEANS.
4) THE FURTHERANCE OF SUCH OTHER CHARITABLE PURPOSES AS THE TRUSTEES MAY FROM TIME TO TIME DETERMINE."
"1000228","0","THE SHAPIRO FOUNDATION","86 PRINCES PARK AVENUE, LONDON","NW11 0JX","Finchley and Golders Green","02072247442","eric.shapiro@chestertons.com","","31/08/2020","11525.0","10771.0","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Animals, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","General charitable causes helping the young, the aged and the infirmed, also supporting education and research.","TO OR TOWARDS OR FOR THE BENEFIT OR IN FURTHERANCE OF SUCH CHARITABLE PURPOSES CHARITABLE INSTITUTIONS OR CHARITABLE FOUNDATIONS AND IN SUCH MANNER AND IN SUCH PROPORTIONS AS THE TRUSTEES MAY FROM TIME TO TIME IN THEIR DISCRETION DETERMINE"
